TraceCounts
0
DebugCounts
60
InfoCounts
52
WarnCounts
0
ErrorCounts
26
FatalCounts
0
Filename,RowNumber,Time,LogLevel,Description
d:\Projects\.net for A1 mentoring\C# Logging and monitoring\Task\MvcMusicStore\logs\2020-04-19.csv,9,2020-04-19 14:33:35.3743,ERROR,System.ArgumentException: Cannot find field "Numbers" in RecordSet [The parameter is incorrect.]
d:\Projects\.net for A1 mentoring\C# Logging and monitoring\Task\MvcMusicStore\logs\2020-04-19.csv,49,2020-04-19 14:36:29.5009,ERROR,System.Runtime.InteropServices.COMException (0x8007064F): Error parsing query: Syntax Error: <sqlfunction-expr>: no matching closing parenthesis [SQL query syntax invalid or unsupported.]
d:\Projects\.net for A1 mentoring\C# Logging and monitoring\Task\MvcMusicStore\logs\2020-04-19.csv,95,2020-04-19 14:46:30.4935,ERROR,System.Runtime.InteropServices.COMException (0x8007064F): Error parsing query: Syntax Error: <field-expr>: cannot find a valid <field-expr>: '(Select' [SQL query syntax invalid or unsupported.]
d:\Projects\.net for A1 mentoring\C# Logging and monitoring\Task\MvcMusicStore\logs\2020-04-19.csv,135,2020-04-19 14:46:45.8906,ERROR,System.Runtime.InteropServices.COMException (0x8007064F): Error parsing query: Syntax Error: <field-expr>: cannot find a valid <field-expr>: '(Select' [SQL query syntax invalid or unsupported.]
d:\Projects\.net for A1 mentoring\C# Logging and monitoring\Task\MvcMusicStore\logs\2020-04-19.csv,175,2020-04-19 14:48:27.8907,ERROR,System.Runtime.InteropServices.COMException (0x8007064F): Error parsing query: Syntax Error: <field-expr>: cannot find a valid <field-expr>: '(Select' [SQL query syntax invalid or unsupported.]
d:\Projects\.net for A1 mentoring\C# Logging and monitoring\Task\MvcMusicStore\logs\2020-04-19.csv,215,2020-04-19 15:01:09.8214,ERROR,System.Runtime.InteropServices.COMException (0x8007064F): Error parsing query: Syntax Error: <field-expr>: cannot find a valid <field-expr>: '(Select' [SQL query syntax invalid or unsupported.]
d:\Projects\.net for A1 mentoring\C# Logging and monitoring\Task\MvcMusicStore\logs\2020-04-19.csv,255,2020-04-19 15:01:18.4278,ERROR,System.Runtime.InteropServices.COMException (0x8007064F): Error parsing query: Syntax Error: <sqlfunction-expr>: not a valid <field-expr-list> [SQL query syntax invalid or unsupported.]
d:\Projects\.net for A1 mentoring\C# Logging and monitoring\Task\MvcMusicStore\logs\2020-04-19.csv,297,2020-04-19 15:01:52.5200,ERROR,System.Runtime.InteropServices.COMException (0x8007064F): Error parsing query: Syntax Error: <sqlfunction-expr>: not a valid <field-expr-list> [SQL query syntax invalid or unsupported.]
d:\Projects\.net for A1 mentoring\C# Logging and monitoring\Task\MvcMusicStore\logs\2020-04-19.csv,337,2020-04-19 15:02:02.3750,ERROR,System.Runtime.InteropServices.COMException (0x8007064F): Error parsing query: Syntax Error: <sqlfunction-expr>: not a valid <field-expr-list> [SQL query syntax invalid or unsupported.]
d:\Projects\.net for A1 mentoring\C# Logging and monitoring\Task\MvcMusicStore\logs\2020-04-19.csv,377,2020-04-19 15:04:07.7999,ERROR,System.Runtime.InteropServices.COMException (0x8007064F): Error parsing query: Syntax Error: <sqlfunction-expr>: not a valid <field-expr-list> [SQL query syntax invalid or unsupported.]
d:\Projects\.net for A1 mentoring\C# Logging and monitoring\Task\MvcMusicStore\logs\2020-04-19.csv,417,2020-04-19 15:17:57.0713,ERROR,System.ArgumentException: Cannot find field "DebugCounts" in RecordSet [The parameter is incorrect.]
d:\Projects\.net for A1 mentoring\C# Logging and monitoring\Task\MvcMusicStore\logs\2020-04-19.csv,457,2020-04-19 15:33:19.1431,ERROR,System.Runtime.InteropServices.COMException (0x8007064F): Error parsing query: Syntax Error: <from-clause>: expecting FROM keyword instead of token 'as' [SQL query syntax invalid or unsupported.]
d:\Projects\.net for A1 mentoring\C# Logging and monitoring\Task\MvcMusicStore\logs\2020-04-19.csv,497,2020-04-19 15:34:13.9729,ERROR,System.Exception: Error
